Namn,Dag,Månad
Svea,2,1
Alfred,3,1
Alfrida,3,1
Rut,4,1
Hanna,5,1
Hannele,5,1
Baltsar,6,1
Kasper,6,1
Melker,6,1
August,7,1
Augusta,7,1
Erland,8,1
Gunder,9,1
Gunnar,9,1
Sigbritt,10,1
Sigurd,10,1
Jan,11,1
Jannike,11,1
Frideborg,12,1
Knut,13,1
Felicia,14,1
Felix,14,1
Laura,15,1
Lorentz,15,1
Helmer,16,1
Hjalmar,16,1
Anton,17,1
Tony,17,1
Hilda,18,1
Hildur,18,1
Henrik,19,1
Fabian,20,1
Sebastian,20,1
Agnes,21,1
Agneta,21,1
Viktor,22,1
Vincent,22,1
Frej,23,1
Freja,23,1
Erika,24,1
Pål,25,1
Paul,25,1
Bodil,26,1
Boel,26,1
Göta,27,1
Göte,27,1
Karl,28,1
Karla,28,1
Diana,29,1
Gunhild,30,1
Gunilla,30,1
Ivar,31,1
Joar,31,1
Max,1,2
Maximilian,1,2
Disa,3,2
Hjördis,3,2
Anselm,4,2
Ansgar,4,2
Agata,5,2
Agda,5,2
Doris,6,2
Dorotea,6,2
Dick,7,2
Rikard,7,2
Bert,8,2
Berta,8,2
Fanny,9,2
Franciska,9,2
Iris,10,2
Inge,11,2
Yngve,11,2
Evelina,12,2
Evy,12,2
Agne,13,2
Ove,13,2
Valentin,14,2
Sigfrid,15,2
Julia,16,2
Julius,16,2
Alexandra,17,2
Sandra,17,2
Frida,18,2
Fritiof,18,2
Ella,19,2
Gabriella,19,2
Vivianne,20,2
Hilding,21,2
Pia,22,2
Torsten,23,2
Torun,23,2
Mats,24,2
Mattias,24,2
Sigvard,25,2
Sivert,25,2
Torgny,26,2
Torkel,26,2
Lage,27,2
Maria,28,2
Albin,1,3
Elvira,1,3
Erna,2,3
Ernst,2,3
Gunborg,3,3
Gunvor,3,3
Adrian,4,3
Adriana,4,3
Tora,5,3
Tove,5,3
Ebba,6,3
Ebbe,6,3
Camilla,7,3
Saga,8,3
Siv,8,3
Torbjörn,9,3
Torleif,9,3
Ada,10,3
Edla,10,3
Edvin,11,3
Egon,11,3
Viktoria,12,3
Greger,13,3
Matilda,14,3
Maud,14,3
Kristoffer,15,3
Gilbert,16,3
Herbert,16,3
Gertrud,17,3
Edmund,18,3
Edvard,18,3
Josef,19,3
Josefina,19,3
Joakim,20,3
Kim,20,3
Bengt,21,3
Kennet,22,3
Kent,22,3
Gerd,23,3
Gerda,23,3
Gabriel,24,3
Rafael,24,3
Emanuel,26,3
Ralf,27,3
Rudolf,27,3
Malkolm,28,3
Morgan,28,3
Jens,29,3
Jonas,29,3
Holger,30,3
Holmfrid,30,3
Ester,31,3
Harald,1,4
Hervor,1,4
Gudmund,2,4
Ingemund,2,4
Ferdinand,3,4
Nanna,3,4
Marianne,4,4
Marlene,4,4
Irene,5,4
Irja,5,4
Vilhelm,6,4
William,6,4
Irma,7,4
Irmelin,7,4
Nadja,8,4
Tanja,8,4
Ottilia,9,4
Otto,9,4
Ingvar,10,4
Ingvor,10,4
Ulf,11,4
Ylva,11,4
Liv,12,4
Artur,13,4
Douglas,13,4
Tiburtius,14,4
Oliver,15,4
Olivia,15,4
Patricia,16,4
Patrik,16,4
Elias,17,4
Elis,17,4
Valdemar,18,4
Volmar,18,4
Ola,19,4
Olaus,19,4
Amalia,20,4
Amelie,20,4
Anneli,21,4
Annika,21,4
Allan,22,4
Glenn,22,4
Georg,23,4
Göran,23,4
Vega,24,4
Markus,25,4
Terese,26,4
Teresia,26,4
Engelbrekt,27,4
Ture,28,4
Tyra,28,4
Tyko,29,4
Mariana,30,4
Valborg,1,5
Filip,2,5
Filippa,2,5
Jane,3,5
John,3,5
Mona,4,5
Monika,4,5
Erhard,5,5
Gotthard,5,5
Marit,6,5
Rita,6,5
Carina,7,5
Carita,7,5
Åke,8,5
Reidar,9,5
Reidun,9,5
Esbjörn,10,5
Styrbjörn,10,5
Märit,11,5
Märta,11,5
Charlotta,12,5
Lotta,12,5
Linn,13,5
Linnea,13,5
Halvar,14,5
Halvard,14,5
Sofia,15,5
Sonja,15,5
Ronald,16,5
Ronny,16,5
Rebecka,17,5
Ruben,17,5
Erik,18,5
Maj,19,5
Majken,19,5
Carola,20,5
Karolina,20,5
Conny,21,5
Konstantin,21,5
Hemming,22,5
Henning,22,5
Desideria,23,5
Desirée,23,5
Ivan,24,5
Vanja,24,5
Urban,25,5
Vilhelmina,26,5
Vilma,26,5
Beda,27,5
Blenda,27,5
Borghild,28,5
Ingeborg,28,5
Jeanette,29,5
Yvonne,29,5
Vera,30,5
Veronika,30,5
Pernilla,31,5
Petronella,31,5
Gun,1,6
Gunnel,1,6
Roger,2,6
Rutger,2,6
Gudmar,3,6
Ingemar,3,6
Solbritt,4,6
Solveig,4,6
Bo,5,6
Gösta,6,6
Gustav,6,6
Robert,7,6
Robin,7,6
Eivor,8,6
Majvor,8,6
Birger,9,6
Börje,9,6
Boris,10,6
Svante,10,6
Berthold,11,6
Bertil,11,6
Eskil,12,6
Aina,13,6
Aino,13,6
Håkan,14,6
Hakon,14,6
Margit,15,6
Margot,15,6
Axel,16,6
Axelina,16,6
Torborg,17,6
Torvald,17,6
Bjarne,18,6
Björn,18,6
Germund,19,6
Görel,19,6
Linda,20,6
Alf,21,6
Alvar,21,6
Paula,22,6
Paulina,22,6
Adolf,23,6
Alice,23,6
David,25,6
Salomon,25,6
Lea,26,6
Rakel,26,6
Fingal,27,6
Selma,27,6
Leo,28,6
Peter,29,6
Petra,29,6
Elof,30,6
Leif,30,6
Aron,1,7
Mirjam,1,7
Rosa,2,7
Rosita,2,7
Aurora,3,7
Ulla,4,7
Ulrika,4,7
Laila,5,7
Ritva,5,7
Esaias,6,7
Jessika,6,7
Klas,7,7
Kjell,8,7
Jörgen,9,7
Örjan,9,7
André,10,7
Andrea,10,7
Eleonora,11,7
Ellinor,11,7
Herman,12,7
Hermine,12,7
Joel,13,7
Judit,13,7
Folke,14,7
Ragnhild,15,7
Ragnvald,15,7
Reine,16,7
Reinhold,16,7
Bruno,17,7
Fredrik,18,7
Fritz,18,7
Sara,19,7
Greta,20,7
Margareta,20,7
Johanna,21,7
Madeleine,22,7
Magdalena,22,7
Emma,23,7
Emmy,23,7
Kerstin,24,7
Kristina,24,7
Jakob,25,7
Jasmine,26,7
Jesper,26,7
Marta,27,7
Botvid,28,7
Seved,28,7
Olof,29,7
Algot,30,7
Elin,31,7
Helena,31,7
Per,1,8
Kajsa,2,8
Karin,2,8
Tage,3,8
Arne,4,8
Arnold,4,8
Alrik,5,8
Ulrik,5,8
Alfons,6,8
Inez,6,8
Denise,7,8
Dennis,7,8
Silvia,8,8
Sylvia,8,8
Roland,9,8
Lars,10,8
Susanna,11,8
Klara,12,8
Kaj,13,8
Uno,14,8
Estelle,15,8
Stella,15,8
Brynolf,16,8
Valter,17,8
Verner,17,8
Ellen,18,8
Lena,18,8
Magnus,19,8
Måns,19,8
Bernhard,20,8
Bernt,20,8
Jon,21,8
Jonna,21,8
Henrietta,22,8
Henrika,22,8
Signe,23,8
Signhild,23,8
Bartolomeus,24,8
Louise,25,8
Lovisa,25,8
Östen,26,8
Raoul,27,8
Rolf,27,8
Fatima,28,8
Leila,28,8
Hampus,29,8
Hans,29,8
Albert,30,8
Albertina,30,8
Arvid,31,8
Vidar,31,8
Sam,1,9
Samuel,1,9
Justina,2,9
Justus,2,9
Alfhild,3,9
Alva,3,9
Gisela,4,9
Adela,5,9
Heidi,5,9
Lilian,6,9
Lilly,6,9
Kevin,7,9
Roy,7,9
Alma,8,9
Hulda,8,9
Anita,9,9
Annette,9,9
Tord,10,9
Turid,10,9
Dagny,11,9
Helny,11,9
Åsa,12,9
Åslög,12,9
Sture,13,9
