Namn,Dag,Månad
Svea,2,1
Alfred,3,1
Alfrida,3,1
Rut,4,1
Hanna,5,1
Hanne,5,1
Hannele,5,1
Hanny,5,1
Baltsar,6,1
Caspar,6,1
Kasper,6,1
Melchior,6,1
Melker,6,1
Age,7,1
Agge,7,1
August,7,1
Augusta,7,1
Augustin,7,1
Augustinus,7,1
Gusten,7,1
Gusti,7,1
Erland,8,1
Gunde,9,1
Gunder,9,1
Gunnar,9,1
Günther,9,1
Sigbritt,10,1
Sigge,10,1
Sigurd,10,1
Jan,11,1
Janne,11,1
Jannika,11,1
Jannike,11,1
Frideborg,12,1
Knut,13,1
Felicia,14,1
Felix,14,1
Lalla,15,1
Larry,15,1
Laura,15,1
Laurens,15,1
Laurentia,15,1
Laurentius,15,1
Lauri,15,1
Laurina,15,1
Lauritz,15,1
Lawrence,15,1
Lorentz,15,1
Helmer,16,1
Hjalmar,16,1
Anthony,17,1
Anton,17,1
Antoni,17,1
Antonio,17,1
Antonius,17,1
Tönnes,17,1
Tony,17,1
Hilda,18,1
Hilde,18,1
Hildur,18,1
Enrique,19,1
Heikki,19,1
Heine,19,1
Heinrich,19,1
Heinz,19,1
Henri,19,1
Henrik,19,1
Henry,19,1
Fabian,20,1
Sebastian,20,1
Agna,21,1
Agnes,21,1
Agneta,21,1
Agnete,21,1
Neta,21,1
Viktor,22,1
Vincent,22,1
Frej,23,1
Freja,23,1
Erika,24,1
Paavo,25,1
Pablo,25,1
Pål,25,1
Palle,25,1
Paul,25,1
Pauli,25,1
Paulus,25,1
Pavel,25,1
Poul,25,1
Bodil,26,1
Boel,26,1
Bolla,26,1
Botilda,26,1
Göta,27,1
Göte,27,1
Götilda,27,1
Carlo,28,1
Carlos,28,1
Carol,28,1
Charles,28,1
Charlie,28,1
Kaarlo,28,1
Karl,28,1
Karla,28,1
Diana,29,1
Diane,29,1
Gulla,30,1
Gullan,30,1
Gulli,30,1
Gullie,30,1
Gully,30,1
Gundel,30,1
Gunhild,30,1
Gunilla,30,1
Gunnela,30,1
Gunni,30,1
Gunnie,30,1
Gunnil,30,1
Gunnila,30,1
Gunny,30,1
Ivar,31,1
Joar,31,1
Max,1,2
Maximilian,1,2
Disa,3,2
Hjördis,3,2
Anselm,4,2
Ansgar,4,2
Ansgarius,4,2
Selm,4,2
Selmer,4,2
Agata,5,2
Agaton,5,2
Agda,5,2
Ågot,5,2
Dolly,6,2
Dora,6,2
Dordi,6,2
Doris,6,2
Dorit,6,2
Dorotea,6,2
Dorthy,6,2
Dick,7,2
Ricky,7,2
Rikard,7,2
Bert,8,2
Berta,8,2
Bertina,8,2
Fanny,9,2
Francesca,9,2
Franciska,9,2
Iris,10,2
Inge,11,2
Ingo,11,2
Yngve,11,2
Evelin,12,2
Evelina,12,2
Eveline,12,2
Evelyn,12,2
Evy,12,2
Agne,13,2
Ove,13,2
Valentin,14,2
Valentina,14,2
Vally,14,2
Sigfrid,15,2
Jill,16,2
Julia,16,2
Juliana,16,2
Julie,16,2
Juliette,16,2
Julio,16,2
Julius,16,2
Alejandra,17,2
Alexandra,17,2
Alla,17,2
Alli,17,2
Allie,17,2
Ally,17,2
Sandra,17,2
Elfrida,18,2
Elfriede,18,2
Frida,18,2
Fritiof,18,2
Ella,19,2
Gabriella,19,2
Gabrielle,19,2
Gaby,19,2
Viviana,20,2
Vivianne,20,2
Hilding,21,2
Pia,22,2
Torsten,23,2
Torun,23,2
Mats,24,2
Matti,24,2
Mattias,24,2
Mattis,24,2
Sigvard,25,2
Sivar,25,2
Sivard,25,2
Sivert,25,2
Torgny,26,2
Torkel,26,2
Lage,27,2
Lago,27,2
Lave,27,2
Maisie,28,2
Maja,28,2
Majli,28,2
Manja,28,2
Mari,28,2
Maria,28,2
Mariella,28,2
Marielle,28,2
Marietta,28,2
Mariette,28,2
Marion,28,2
Marja,28,2
Marjatta,28,2
Marjo,28,2
Mary,28,2
Maryam,28,2
Mia,28,2
Mimmi,28,2
Mimmie,28,2
Mirja,28,2
Albin,1,3
Alvin,1,3
Elva,1,3
Elvi,1,3
Elvie,1,3
Elvira,1,3
Elvy,1,3
Erna,2,3
Ernesto,2,3
Ernst,2,3
Gunborg,3,3
Gunda,3,3
Gunvor,3,3
Adrian,4,3
Adriana,4,3
Adrienne,4,3
Tora,5,3
Tova,5,3
Tove,5,3
Tuve,5,3
Ebba,6,3
Ebbe,6,3
Camilla,7,3
Saga,8,3
Siv,8,3
Torben,9,3
Torbjörn,9,3
Torleif,9,3
Ada,10,3
Edla,10,3
Ethel,10,3
Edvin,11,3
Egon,11,3
Tori,12,3
Vicky,12,3
Viktoria,12,3
Greger,13,3
Gregor,13,3
Gregorius,13,3
Grels,13,3
Reijo,13,3
Matilda,14,3
Matilde,14,3
Matty,14,3
Maud,14,3
Milda,14,3
Tilda,14,3
Tilde,14,3
Tilly,14,3
Chris,15,3
Kristoffer,15,3
Gilbert,16,3
Herbert,16,3
Gerti,17,3
Gertie,17,3
Gertrud,17,3
Gerty,17,3
Kerttu,17,3
Trude,17,3
Edde,18,3
Eddie,18,3
Eddy,18,3
Edmund,18,3
Eduardo,18,3
Edvard,18,3
Giuseppe,19,3
José,19,3
Josef,19,3
Josefin,19,3
Josefina,19,3
Josefine,19,3
Joakim,20,3
Jockum,20,3
Kim,20,3
Benedikt,21,3
Bengt,21,3
Bengta,21,3
Benita,21,3
Bent,21,3
Pentti,21,3
Ken,22,3
Kennet,22,3
Kennie,22,3
Kenny,22,3
Kent,22,3
Gerd,23,3
Gerda,23,3
Gabriel,24,3
Rafael,24,3
Emanuel,26,3
Immanuel,26,3
Manne,26,3
Manuel,26,3
Manuela,26,3
Ralf,27,3
Rudolf,27,3
Malkolm,28,3
Morgan,28,3
Jens,29,3
Jonas,29,3
Holger,30,3
Holmfrid,30,3
Essie,31,3
Essy,31,3
Ester,31,3
Harald,1,4
Harold,1,4
Hervor,1,4
Gudmund,2,4
Ingeman,2,4
Ingemund,2,4
Ferdinand,3,4
Fernando,3,4
Hernan,3,4
Nanna,3,4
Marianne,4,4
Marlen,4,4
Marlene,4,4
Iren,5,4
Irena,5,4
Irene,5,4
Irina,5,4
Irja,5,4
Bill,6,4
Billy,6,4
Guillermo,6,4
Vilhelm,6,4
Viljo,6,4
Ville,6,4
Villy,6,4
Willi,6,4
William,6,4
Irma,7,4
Irmeli,7,4
Irmelin,7,4
Irmgard,7,4
Nadja,8,4
Tanja,8,4
Tatjana,8,4
Otelia,9,4
Otti,9,4
Ottilia,9,4
Otto,9,4
Igor,10,4
Ingar,10,4
Ingvar,10,4
Ingvor,10,4
Yngvar,10,4
Ulf,11,4
Wolf,11,4
Ylva,11,4
Liv,12,4
Arto,13,4
Artur,13,4
Douglas,13,4
Tiburtius,14,4
Oliver,15,4
Olivia,15,4
Olly,15,4
Viva,15,4
Patricia,16,4
Patrik,16,4
Elias,17,4
Elis,17,4
Ellis,17,4
Valde,18,4
Valdemar,18,4
Valle,18,4
Vladimir,18,4
Volmar,18,4
Volmer,18,4
Ola,19,4
Olaus,19,4
Olavus,19,4
Amalia,20,4
Amalie,20,4
Amelia,20,4
Amelie,20,4
Emelia,20,4
Emelie,20,4
Anneli,21,4
Annelie,21,4
Annika,21,4
Allan,22,4
Glenn,22,4
Georg,23,4
George,23,4
Georges,23,4
Georgina,23,4
Georgios,23,4
Georgius,23,4
Gina,23,4
Göran,23,4
György,23,4
Jorge,23,4
Yrjö,23,4
Vega,24,4
Marco,25,4
Mark,25,4
Markku,25,4
Markus,25,4
Teresa,26,4
Terese,26,4
Teresia,26,4
Engelbrekt,27,4
Ingbert,27,4
Ture,28,4
Tyra,28,4
Tyko,29,4
Mariana,30,4
Valborg,1,5
Felipe,2,5
Filip,2,5
